City,Cloudiness,Country,Date,Humidity,lat,lng,Max Temp,Wind Speed
pevek,0,RU,1552784262,90,69.7,170.27,246.913,6.16
khatanga,64,RU,1552784264,73,71.98,102.47,249.338,0.51
jumla,80,NP,1552784267,77,29.28,82.18,269.663,0.96
tuatapere,8,NZ,1552783806,73,-46.13,167.69,290.93,2.06
mar del plata,0,AR,1552784273,38,-46.43,-67.52,295.938,6.71
goure,32,NE,1552784275,21,13.98,10.27,298.038,5.36
podor,0,MR,1552784277,25,16.65,-14.96,293.813,3.86
ahipara,56,NZ,1552784279,72,-35.17,173.16,296.713,3.31
souillac,90,FR,1552784229,87,45.6,-0.6,283.71,5.1
adilabad,68,IN,1552784284,95,19.68,78.53,291.588,2.86
eureka,1,US,1552784243,81,40.8,-124.16,286.48,5.7
port blair,0,IN,1552784288,100,11.67,92.75,300.838,4.71
deer lake,90,CA,1552780800,80,49.18,-57.43,278.15,4.6
whakatane,0,NZ,1552783818,59,-37.96,176.99,298.15,0.89
pecos,75,US,1552783931,26,31.42,-103.49,287.15,5.1
tevaitoa,20,PF,1552784296,98,-16.78,-151.5,302.238,5.21
san borja,8,BO,1552784299,90,-14.86,-66.75,298.338,0.61
santa ana,0,SV,1552784136,37,13.99,-89.56,302.15,5.1
wamba,56,CD,1552784304,92,2.14,27.99,293.488,1.06
camopi,8,GF,1552784306,82,3.17,-52.33,297.988,1.56
dwarka,40,IN,1552782600,87,28.58,77.04,287.15,2.1
sinnamary,68,GF,1552784310,100,5.38,-52.96,298.938,4.81
nelson bay,75,AU,1552783841,83,-32.72,152.14,295.37,5.1
cidreira,80,BR,1552784056,81,-30.17,-50.22,296.413,6.41
hualmay,24,PE,1552784318,78,-11.1,-77.61,295.888,2.41
vao,88,EE,1552784321,97,59.1,26.19,273.988,1.76
quepos,40,CR,1552784285,68,9.43,-84.16,295.15,6.7
lata,92,IN,1552784325,70,30.78,78.62,276.913,0.76
hithadhoo,68,MV,1552784327,100,-0.6,73.08,299.588,0.26
jiayuguan,56,CN,1552784331,68,39.77,98.29,268.838,2.41
kavaratti,0,IN,1552784333,100,10.57,72.64,301.063,2.41
taltal,0,CL,1552784335,81,-25.41,-70.49,290.288,1.11
baykit,0,RU,1552784337,66,61.68,96.39,256.213,2.01
marijampole,68,LT,1552782000,94,54.57,23.35,274.15,4.16
mana,0,RS,1552782600,61,43.52,20.24,281.15,3.6
kavieng,32,PG,1552784344,98,-2.57,150.8,302.413,2.81
ostrovnoy,8,RU,1552784346,86,68.05,39.51,269.738,5.81
thompson,75,CA,1552780800,45,55.74,-97.86,269.15,3.1
sheffield lake,75,US,1552784233,64,41.49,-82.1,275.37,4.6
kirakira,24,SB,1552784354,100,-10.46,161.92,302.213,5.71
orcopampa,92,PE,1552784356,97,-15.27,-72.34,276.563,1.16
saint-joseph,90,FR,1552784281,87,43.56,6.97,287.15,1.0
kamyshevatskaya,76,RU,1552784361,93,46.41,37.96,278.838,6.81
port lincoln,0,AU,1552784365,84,-34.72,135.86,294.838,5.01
linjiang,48,CN,1552784367,81,41.81,126.91,271.713,1.56
puerto madryn,64,AR,1552784369,95,-42.77,-65.04,290.888,7.71
constitucion,75,MX,1552783815,13,23.99,-104.67,294.15,8.2
san quintin,80,PH,1552784374,90,17.54,120.52,295.838,1.71
loralai,0,PK,1552784378,77,30.37,68.6,272.488,1.21
sovetskiy,92,RU,1552784380,90,56.76,48.47,269.338,5.06
birobidzhan,0,RU,1552784382,49,48.79,132.93,274.038,2.11
saldanha,0,PT,1552784384,61,41.42,-6.55,276.788,2.41
suntar,80,RU,1552784386,69,62.16,117.65,263.713,4.16
labuhan,92,ID,1552784389,95,-2.54,115.51,294.738,1.11
nuuk,40,GL,1552783961,73,64.17,-51.74,266.15,5.7
kodinsk,88,RU,1552784393,78,58.6,99.18,270.388,2.31
bandarbeyla,92,SO,1552784395,100,9.49,50.81,298.488,3.31
tocopilla,8,CL,1552784397,96,-22.09,-70.2,291.163,2.56
zhigansk,0,RU,1552784399,56,66.77,123.37,248.888,2.01
kruisfontein,0,ZA,1552784305,80,-34.0,24.73,291.438,4.76
colonia,0,RO,1552782600,75,46.6,23.97,279.26,1.5
coahuayana,8,MX,1552784411,26,18.62,-100.35,302.488,1.31
pangkalanbuun,8,ID,1552784392,90,-2.68,111.62,297.788,2.21
okhotsk,48,RU,1552784415,92,59.36,143.24,262.888,2.11
gondanglegi,68,ID,1552784417,88,-7.75,112.01,296.088,1.86
dikson,68,RU,1552784419,94,73.51,80.55,260.138,10.81
zhangye,68,CN,1552784421,69,38.94,100.46,272.788,3.16
stowe,90,US,1552784283,86,44.47,-72.69,274.15,3.1
morondava,0,MG,1552784427,100,-20.3,44.28,297.588,1.01
abu dhabi,8,AE,1552783320,57,24.47,54.37,299.15,9.3
chitrakonda,0,IN,1552784432,85,18.12,82.08,288.738,0.96
mount isa,24,AU,1552782600,13,-20.73,139.49,305.15,4.1
srednekolymsk,36,RU,1552784328,72,67.46,153.71,249.413,1.26
karwar,0,IN,1552784438,79,14.8,74.13,293.488,0.86
buraydah,40,SA,1552780800,36,26.33,43.97,290.15,10.8
jamestown,0,AU,1552784443,87,-33.21,138.6,294.088,1.86
ponta delgada,20,PT,1552784433,87,37.73,-25.67,289.15,5.7
tolaga bay,36,NZ,1552784447,76,-38.37,178.3,293.938,5.06
luderitz,0,NA,1552784451,92,-26.65,15.16,289.163,4.21
chuy,76,UY,1552784453,91,-33.69,-53.46,295.788,7.01
